lat;lng
39.606689521599996;-104.958489931
39.6377412341;-104.958554156
39.7304174328;-104.96894015299999
39.693101972;-105.00699527399999
39.75816678470004;-105.05101602400006
39.75340188389999;-105.05847740600005
39.752204532300006;-105.06167717900004
39.6588364948;-105.00826269299999
39.75082793169998;-105.08424640100003
39.7897248502;-105.14207177
39.8234819597;-105.00658531200001
39.729119138099996;-104.973191162
39.636387184200004;-104.95385718700001
39.6108395811;-104.959204995
39.610484932;-104.95866300600001
39.817274745300004;-105.219606285
39.81938960680001;-105.21608433200002
39.6132883894;-104.957669814
39.8069125771;-105.213851735
39.823802468400004;-105.05402054700001
39.82745574670001;-105.05263053599997
39.8165356897;-105.03795785600003
39.6933931535;-105.00639204
39.79236827789999;-105.05135290799996
39.7849356591;-105.054928272
39.77879907919999;-105.05716639200003
39.77092563669999;-105.07184545299997
39.7434805971;-105.095751496
39.72790358530003;-105.107575111
39.78413804840003;-104.98067861900006
39.7747059768;-104.98424417300006
39.751653124099995;-105.09388495
39.7699031075;-105.07773541799999
39.8249810829;-105.063567886
39.814949547400005;-105.05568982499996
39.79168700009997;-104.99279176099999
39.81148478950001;-105.04457065599996
39.7261901688;-105.04268789999999
39.7259908643;-105.04253461200003
39.827401799499974;-105.05293932299995
39.7511970002;-104.99159507200001
39.6104645231;-104.958792463
39.7290496285;-104.97268658799999
39.823936154200005;-105.05428317699999
39.8180064236;-105.05041640400003
39.814117846699986;-105.03375687000005
39.81375139290002;-105.03426722299993
39.77516118580001;-104.98875066999996
39.6157866434;-104.963066525
39.6101857515;-104.95877240600001
39.827089144799984;-105.05235145799999
39.7673806523;-105.011089163
39.720077734899995;-104.979574021
39.6104761996;-104.95868212399999
39.82015632539999;-105.21574595900003
39.82188685519999;-105.05649054400006
39.820820046;-105.05422170400001
39.82279402929999;-105.054476117
39.827916541800015;-105.05201048999999
39.816569433599994;-105.05603495800003
39.81545249980001;-105.05433654600003
39.82794538680001;-105.05176833900002
39.783755663400015;-105.03558977600004
39.82734996210001;-105.052829519
39.81791906010002;-105.03956127099997
39.7999417353;-105.049607043
39.7984543306;-105.04851367099998
39.815458165600006;-105.05465045100003
39.6104506056;-104.958854494
39.827495205000005;-105.05259979199994
39.7743191625;-105.001094851
39.7673095186;-105.011050214
39.7676103696;-105.010814717
39.767475306499996;-105.01084814399998
39.8257738081;-105.21675904200002
39.8251924549;-105.21784742
39.613824178499996;-104.962531911
39.6232469195;-104.961531244
39.8238153247;-105.05404686299997
39.8178760025;-105.05048290900002
39.602208409;-104.955276715
39.597551779899995;-104.954286975
39.8197661048;-105.054096781
39.6651046312;-105.012557805
39.821991702;-105.04777382700003
39.6604455456;-104.985361599
39.672500426999996;-105.012104494
39.817957609900006;-105.039551086
39.684796445;-105.000553684
39.784359520100004;-104.98062734099996
39.7146231683;-105.022584344
39.692302555;-105.00659271
39.727427773200006;-105.02576787
39.77343792279999;-104.98398066600001
39.739206690500005;-105.02855418700004
39.7462601987;-105.03183276
39.7524870644;-105.040345805
39.7530081707;-105.03990113100001
39.828944093400004;-105.057318983
39.8335379021;-105.118595384
39.776019309;-105.04265343700001
39.7758966627;-105.043005673
39.750904057;-105.10883438299994
39.72712280020001;-105.11257979199996
39.726581298899994;-105.10854954800001
39.73528839760001;-105.10419417400001
39.7575895221;-105.10482228299999
39.752315050300005;-105.09518064299999
39.7707074271;-105.078400408
39.8153079579;-105.055597995
39.7928131244;-104.992234972
39.6586616498;-105.007982891
39.7847597814;-105.03958692399999
39.7899685444;-105.026379568
39.80180711330001;-105.02395555599996
39.8126579834;-105.01423201700001
39.8271809628;-105.05249879600001
39.78815882420002;-105.00893455399999
39.802770436100005;-105.00821120399999
39.624407584299995;-104.956607347
39.6104580892;-104.958736865
39.7984695133;-104.99406988799998
39.6106205833;-104.95873609799999
39.6069498275;-104.957889728
39.776149155300004;-105.016220573
